Results Table 1,,
,Specimen label,Specimen note 1
1,400,
,,
Time,Displacement,Force
(s),(mm),(N)
11.28,74.8771,906.4307
11.3,75.0104,906.5462
11.32,75.1437,906.6844
11.34,75.2769,906.9078
11.36,75.4103,906.9905
11.38,75.5437,907.1586
11.4,75.6771,907.1874
11.42,75.8104,907.3711
11.44,75.9437,907.4817
11.46,76.0771,907.6737
11.48,76.2105,907.7753
11.5,76.3438,907.8978
11.52,76.4769,908.0375
11.54,76.6102,908.1584
11.56,76.7436,908.3495
11.58,76.877,908.4743
11.6,77.0104,908.6109
11.62,77.1438,908.692
11.64,77.2772,908.957
11.66,77.4105,909.0376
11.68,77.5437,909.2095
11.7,77.6769,909.3238
11.72,77.8102,909.4584
11.74,77.9436,909.6256
11.76,78.077,909.8241
11.78,78.2104,910.0184
11.8,78.3438,910.1046
11.82,78.4771,910.2962
11.84,78.6104,910.3644
11.86,78.7437,910.5184
11.88,78.877,910.6906
11.9,79.0104,910.9163
11.92,79.1438,910.993
11.94,79.2771,911.0828
11.96,79.4103,911.1604
11.98,79.5437,911.2852
12,79.677,911.5117
12.02,79.8103,911.6106
12.04,79.9437,911.728
12.06,80.0771,911.8241
12.08,80.2104,911.9879
12.1,80.3438,912.0237
12.12,80.477,912.2131
12.14,80.6103,912.3193
12.16,80.7437,912.4635
12.18,80.8771,912.5856
12.2,81.0104,912.7228
12.22,81.1437,912.8695
12.24,81.277,913.0146
12.26,81.4103,913.203
12.28,81.5437,913.2567
12.3,81.677,913.3817
12.32,81.8104,913.4889
12.34,81.9438,913.6588
12.36,82.0771,913.7616
12.38,82.2104,913.9395
12.4,82.3437,914.0441
12.42,82.477,914.2919
12.44,82.6104,914.4514
12.46,82.7437,914.489
12.48,82.8771,914.6702
12.5,83.0104,914.6977
12.52,83.1437,914.8571
12.54,83.2771,914.9608
12.56,83.4104,915.1633
12.58,83.5437,915.2953
12.6,83.677,915.4854
12.62,83.8103,915.6064
12.64,83.9437,915.7215
12.66,84.077,915.83
12.68,84.2103,915.9656
12.7,84.3438,916.0677
12.72,84.4772,916.0842
12.74,84.6105,916.2793
12.76,84.7438,916.3411
12.78,84.877,916.5449
12.8,85.0102,916.6763
12.82,85.1435,916.8489
12.84,85.2769,916.9504
12.86,85.4104,917.0438
12.88,85.5438,917.1808
12.9,85.6772,917.2951
12.92,85.8104,917.4677
12.94,85.9437,917.5688
12.96,86.0769,917.677
12.98,86.2103,917.7175
13,86.3437,917.8694
13.02,86.477,917.9316
13.04,86.6104,918.0966
13.06,86.7438,918.3267
13.08,86.8771,918.4447
13.1,87.0104,918.5065
13.12,87.1437,918.5349
13.14,87.2771,918.689
13.16,87.4104,918.8126
13.18,87.5437,919.0125
13.2,87.677,919.1033
13.22,87.8103,919.2897
13.24,87.9437,919.3079
13.26,88.0771,919.4465
13.28,88.2104,919.535
13.3,88.3437,919.7048
13.32,88.477,919.8485
13.34,88.6103,919.973
13.36,88.7437,920.1555
13.38,88.8771,920.2053
13.4,89.0104,920.4122
13.42,89.1438,920.4876
13.44,89.2771,920.5818
13.46,89.4103,920.5557
13.48,89.5436,920.7453
13.5,89.677,920.904
13.52,89.8104,921.0265
13.54,89.9437,921.0788
13.56,90.077,921.0948
13.58,90.2103,921.2689
13.6,90.3437,921.3773
13.62,90.4771,921.5121
13.64,90.6104,921.5731
13.66,90.7437,921.7893
13.68,90.877,921.8322
13.7,91.0104,921.9503
13.72,91.1437,921.9822
13.74,91.277,922.1697
13.76,91.4103,922.2598
13.78,91.5438,922.3046
13.8,91.6771,922.4828
13.82,91.8104,922.5717
13.84,91.9437,922.6944
13.86,92.077,922.8019
13.88,92.2103,922.9781
13.9,92.3437,923.031
13.92,92.4771,923.1383
13.94,92.6104,923.2094
13.96,92.7438,923.3203
13.98,92.8772,923.3911
14,93.0104,923.5353
14.02,93.1437,923.7291
14.04,93.2771,923.9072
14.06,93.4103,924.0565
14.08,93.5436,924.0638
14.1,93.6768,924.1929
14.12,93.8103,924.2525
14.14,93.9437,924.4593
14.16,94.0771,924.5488
14.18,94.2104,924.6376
14.2,94.3438,924.7334
14.22,94.4771,924.9576
14.24,94.6104,925.0179
14.26,94.7436,925.0514
14.28,94.8769,925.187
14.3,95.0103,925.2065
14.32,95.1438,925.4797
14.34,95.2772,925.4902
