Alpha	Beta
-0.00055993	0.000188226
-0.00077561	-7.90E-05
-0.000933254	-0.000382846
-0.00102425	-0.000580906
-0.00104735	-0.000656654
-0.00100801	-0.000640917
-0.000917491	-0.000484776
-0.000789785	-9.30E-05
-0.000638693	0.000482478
-0.000476738	0.0009447
-0.000313608	0.000955833
-0.000155192	0.000489827
-5.44E-06	-7.66E-05
0.000131538	-0.000317811
0.000251252	-0.000207921
0.000347959	-0.000130358
0.000413653	-0.000398822
0.000439833	-0.000832962
0.000420328	-0.000893176
0.000352762	-0.000240812
0.00024028	0.000884218
9.36E-05	0.00184658
-6.95E-05	0.00211435
-0.000225821	0.0015601
-0.000348849	0.000395547
-0.000413431	-0.00100595
-0.000400711	-0.00218579
-0.000301031	-0.00267384
-0.000116022	-0.00220638
0.000139514	-0.000964037
0.000439278	0.000459397
0.000750497	0.00142726
0.00103816	0.00167638
0.00126912	0.00141421
0.00141756	0.00104786
0.00146841	0.000828777
0.00141761	0.000702665
0.0012719	0.000425057
0.00104777	-0.000182507
0.00076772	-0.00101676
0.000456543	-0.00167568
0.000138269	-0.00168748
-0.00016761	-0.000858309
-0.000447491	0.000508572
-0.000691878	0.00172315
-0.000894129	0.00211599
-0.00105001	0.00146146
-0.00115583	0.000116853
-0.00120687	-0.00119882
-0.00119795	-0.00182448
-0.0011245	-0.00152506
-0.000983921	-0.000603688
-0.000778363	0.000312918
-0.000516807	0.000695256
-0.000215266	0.000462662
0.000103368	-1.03E-06
0.000410176	-0.000201451
0.000673594	3.21E-05
0.00086414	0.000429064
0.000958726	0.000588589
0.00094536	0.000403293
0.00082652	0.000162387
0.000619041	0.000230614
0.000351896	0.000634491
6.35E-05	0.000985673
-0.000204079	0.000830078
-0.000412306	7.14E-05
-0.000532006	-0.000945459
-0.000546998	-0.00173185
-0.000457562	-0.00199906
-0.000280916	-0.00173687
-4.80E-05	-0.001056
0.000201456	-6.62E-05
0.000425617	0.00105948
0.000588708	0.00199529
0.000667155	0.00237999
0.000652904	0.00208446
0.000555204	0.00132044
0.000399399	0.00043572
0.000221122	-0.000379252
5.94E-05	-0.00114085
-4.98E-05	-0.00184645
-8.03E-05	-0.00228463
-2.14E-05	-0.00214726
0.000120483	-0.00133172
0.000322177	-9.06E-05
0.000546763	0.00111698
0.000750508	0.00189062
0.000891114	0.00204455
0.000933826	0.00162379
0.000856849	0.000860494
0.000655504	9.14E-05
0.000342449	-0.000394118
-5.48E-05	-0.000516816
-0.000497091	-0.000428353
-0.000938564	-0.000340751
-0.00133415	-0.000337597
-0.00164436	-0.000364555
-0.00183878	-0.000360488
-0.00189971	-0.000331262
-0.00182329	-0.000299291
-0.00161801	-0.000250865
-0.00130334	-0.000176891
-0.000907685	-0.000126967
-0.000464421	-0.000153272
-8.79E-06	-0.000195834
0.000424496	-9.77E-05
0.000804595	0.000213892
0.00110733	0.000599056
0.00131638	0.000819069
0.00142431	0.000773247
0.0014331	0.000577052
0.00135262	0.000397364
0.00119876	0.000258701
0.000992381	5.29E-05
0.000756719	-0.000279154
0.000513605	-0.000631764
0.000281736	-0.000814384
7.59E-05	-0.000711493
-9.41E-05	-0.000352664
-0.000222916	0.000121325
-0.000308248	0.000519961
-0.000350365	0.000668136
-0.000351648	0.000495905
-0.000314998	0.000113325
-0.00024344	-0.000233535
-0.000141687	-0.000348252
-1.65E-05	-0.0002602
